state, date, name, count, amount
tamil-nadu,2024-2Q,Insurance,97348,135972378.0
tamil-nadu,2024-1Q,Insurance,111521,148976175.0
tamil-nadu,2021-4Q,Insurance,33037,42184290.0
tamil-nadu,2021-3Q,Insurance,23107,23402918.0
tamil-nadu,2021-2Q,Insurance,17682,16444344.0
tamil-nadu,2021-1Q,Insurance,14406,11180849.0
tamil-nadu,2022-4Q,Insurance,125491,146457790.0
tamil-nadu,2022-3Q,Insurance,64356,79747520.0
tamil-nadu,2022-2Q,Insurance,46714,61835120.0
tamil-nadu,2022-1Q,Insurance,47621,64969045.0
tamil-nadu,2023-4Q,Insurance,104871,139433796.0
tamil-nadu,2023-3Q,Insurance,91069,114625593.0
tamil-nadu,2023-2Q,Insurance,79698,105328191.0
tamil-nadu,2023-1Q,Insurance,90690,116710222.0
tamil-nadu,2020-4Q,Insurance,10290,8993575.0
tamil-nadu,2020-3Q,Insurance,8026,2257373.0
tamil-nadu,2020-2Q,Insurance,5473,1075552.0
dadra-&-nagar-haveli-&-daman-&-diu,2024-2Q,Insurance,1008,1367259.0
dadra-&-nagar-haveli-&-daman-&-diu,2024-1Q,Insurance,1295,1908509.0
dadra-&-nagar-haveli-&-daman-&-diu,2021-4Q,Insurance,421,425384.0
dadra-&-nagar-haveli-&-daman-&-diu,2021-3Q,Insurance,360,273596.0
dadra-&-nagar-haveli-&-daman-&-diu,2021-2Q,Insurance,368,275638.0
dadra-&-nagar-haveli-&-daman-&-diu,2021-1Q,Insurance,467,285691.0
dadra-&-nagar-haveli-&-daman-&-diu,2022-4Q,Insurance,871,1272628.0
dadra-&-nagar-haveli-&-daman-&-diu,2022-3Q,Insurance,707,983776.0
dadra-&-nagar-haveli-&-daman-&-diu,2022-2Q,Insurance,438,686857.0
dadra-&-nagar-haveli-&-daman-&-diu,2022-1Q,Insurance,493,720741.0
dadra-&-nagar-haveli-&-daman-&-diu,2023-4Q,Insurance,1207,1973867.0
