date, registeredUsers, appOpens
2024-2Q,null,null,null
2024-1Q,null,null,null
2021-4Q,Xiaomi,4737458,0.23185166529944343
2021-4Q,Vivo,4457962,0.21817310328484968
2021-4Q,Samsung,3636646,0.17797781662751622
2021-4Q,Oppo,2390692,0.11700070405226959
2021-4Q,Realme,1288203,0.06304478283369244
2021-4Q,Apple,575168,0.02814877907665889
2021-4Q,OnePlus,507178,0.02482134172023079
2021-4Q,Motorola,501002,0.02451908766649789
2021-4Q,Huawei,493892,0.02417112355994981
2021-4Q,Lenovo,336045,0.01644607569408562
2021-4Q,Others,1508896,0.07384552018480564
2021-3Q,Xiaomi,4464525,0.23340943691366958
2021-3Q,Vivo,4059800,0.21225004496158398
2021-3Q,Samsung,3487967,0.18235409443187378
2021-3Q,Oppo,2182951,0.11412666828388954
2021-3Q,Realme,1086229,0.05678904233917346
2021-3Q,Apple,516731,0.027015167738076815
2021-3Q,Huawei,514394,0.02689298724764004
2021-3Q,Motorola,504404,0.02637070094063816
2021-3Q,OnePlus,454175,0.02374468303128908
2021-3Q,Lenovo,358008,0.018716984604317147
2021-3Q,Others,1498256,0.07833018950784841
2021-2Q,Xiaomi,4159447,0.23361718599669679
2021-2Q,Vivo,3648711,0.20493147198057665
2021-2Q,Samsung,3335419,0.1873352878158843
2021-2Q,Oppo,1982731,0.11136096620738686
2021-2Q,Realme,924040,0.05189911652880484
2021-2Q,Huawei,515007,0.02892559662584974
2021-2Q,Motorola,513680,0.028851065082157127
2021-2Q,Apple,481336,0.027034449973495526
2021-2Q,OnePlus,400480,0.022493136863616037
2021-2Q,Lenovo,375748,0.021104053111840788
2021-2Q,Others,1467943,0.08244766981369137
2021-1Q,Xiaomi,3887022,0.23369888835232575
2021-1Q,Vivo,3309321,0.1989658506952127
2021-1Q,Samsung,3143951,0.18902333296137322
2021-1Q,Oppo,1825392,0.1097477918075145
2021-1Q,Realme,782154,0.04702533721710991
2021-1Q,Huawei,522223,0.03139754150401428
2021-1Q,Motorola,518191,0.03115512612333556
2021-1Q,Apple,449432,0.027021138236408865
2021-1Q,Lenovo,389630,0.023425670826848082
2021-1Q,OnePlus,369966,0.022243414863141128
2021-1Q,Others,1435326,0.08629590741271603
2022-4Q,null,null,null
2022-3Q,null,null,null
2022-2Q,null,null,null
2022-1Q,Xiaomi,4978558,0.2297758528860914
2022-1Q,Vivo,4823657,0.2226266925493215
2022-1Q,Samsung,3775700,0.1742602351407808
2022-1Q,Oppo,2599406,0.11997062817129443
2022-1Q,Realme,1468106,0.0677576334909
2022-1Q,Apple,624113,0.028804745645686393
2022-1Q,OnePlus,549762,0.02537321699061523
2022-1Q,Motorola,495397,0.022864104062302985
2022-1Q,Huawei,485896,0.022425603520927196
2022-1Q,Lenovo,331152,0.015283689219837337
2022-1Q,Others,1535273,0.07085759832224274
2019-4Q,Xiaomi,2321854,0.2413445963735954
2019-4Q,Samsung,1803401,0.18745411487748082
2019-4Q,Vivo,1661144,0.17266724272862108
2019-4Q,Oppo,954430,0.09920801356021984
2019-4Q,Realme,385827,0.04010470149502733
2019-4Q,Motorola,364512,0.03788911857219791
2019-4Q,Huawei,329271,0.03422600068416452
2019-4Q,Apple,306135,0.03182113432232631
2019-4Q,Lenovo,283182,0.02943528985468832
2019-4Q,OnePlus,275013,0.028586164970963546
2019-4Q,Others,935724,0.09726362256071493
2019-3Q,Xiaomi,2046907,0.24284577880573058
2019-3Q,Samsung,1578951,0.1873273115442407
2019-3Q,Vivo,1404873,0.16667463534403035
2019-3Q,Oppo,809503,0.09603972553739633
2019-3Q,Motorola,331659,0.03934814241825828
2019-3Q,Realme,325676,0.03863831715770922
2019-3Q,Huawei,287625,0.034123932904132064
2019-3Q,Apple,280108,0.03323211333476097
2019-3Q,Lenovo,263109,0.031215345892997074
2019-3Q,OnePlus,253980,0.03013227806689774
2019-3Q,Others,846444,0.10042241899384671
2019-2Q,Xiaomi,1811254,0.24378860314183426
2019-2Q,Samsung,1396893,0.18801702754478736
2019-2Q,Vivo,1196063,0.16098599535991734
2019-2Q,Oppo,697196,0.09384020074273088
2019-2Q,Motorola,303963,0.04091238179559651
2019-2Q,Realme,281300,0.03786201938756131
2019-2Q,Apple,254300,0.03422791158996388
2019-2Q,Lenovo,251562,0.03385938613997049
2019-2Q,Huawei,248271,0.03341642877841889
2019-2Q,OnePlus,232848,0.031340545646480186
2019-2Q,Others,755959,0.10174949987273893
2019-1Q,Xiaomi,1539941,0.24457860430160366
2019-1Q,Samsung,1181910,0.18771491778588165
2019-1Q,Vivo,982792,0.15609032792735675
2019-1Q,Oppo,574119,0.09118350879873476
2019-1Q,Motorola,263727,0.041886008344896995
2019-1Q,Realme,239102,0.03797498309722388
2019-1Q,Apple,223033,0.035422850520376796
2019-1Q,Lenovo,220455,0.035013403897493495
2019-1Q,OnePlus,209025,0.03319805288913193
2019-1Q,Huawei,206764,0.0328389532714674
2019-1Q,Others,655435,0.10409838916583271
2023-4Q,null,null,null
2023-3Q,null,null,null
2023-2Q,null,null,null
2023-1Q,null,null,null
2018-4Q,Xiaomi,1270630,0.24435765608346965
2018-4Q,Samsung,978019,0.1880849896862965
2018-4Q,Vivo,776632,0.14935581180943092
2018-4Q,Oppo,457237,0.08793225533368283
2018-4Q,Motorola,228639,0.043970070067028494
2018-4Q,Realme,198871,0.038245320370977935
2018-4Q,Lenovo,194451,0.037395300428202355
2018-4Q,Apple,191032,0.03673778500187889
2018-4Q,OnePlus,180637,0.034738699638722295
2018-4Q,Huawei,164880,0.031708436236388624
2018-4Q,Others,558850,0.10747367534392153
2018-3Q,Xiaomi,948490,0.24319152694864873
2018-3Q,Samsung,739663,0.1896485723596647
2018-3Q,Vivo,545491,0.13986313954469246
2018-3Q,Oppo,327387,0.0839415749592903
2018-3Q,Motorola,177191,0.04543152785117188
2018-3Q,Lenovo,153372,0.039324369124785874
2018-3Q,Apple,150205,0.038512354695697144
2018-3Q,Realme,149904,0.03843517871112003
2018-3Q,OnePlus,145542,0.03731676793130158
2018-3Q,Huawei,118152,0.030294009733404407
2018-3Q,Others,444780,0.11404097814022286
2018-2Q,Xiaomi,723469,0.24147540283227573
2018-2Q,Samsung,574902,0.1918875474126479
2018-2Q,Vivo,390299,0.13027179913726003
2018-2Q,Oppo,240094,0.08013722131509768
2018-2Q,Motorola,139685,0.04662327154947404
2018-2Q,Lenovo,127831,0.04266671027984977
2018-2Q,Apple,123693,0.04128555197601097
2018-2Q,OnePlus,119948,0.04003556699585719
2018-2Q,Realme,116217,0.03879025485675072
2018-2Q,Huawei,86507,0.028873818605650935
2018-2Q,Others,353391,0.11795285503912503
2018-1Q,Xiaomi,503469,0.23920562688086114
2018-1Q,Samsung,408997,0.1943205714302004
2018-1Q,Vivo,256682,0.12195344444053795
