state, date, registeredUsers, appOpens
tamil-nadu,2024-2Q,31818880,1071832085
tamil-nadu,2024-1Q,30638750,1089065562
tamil-nadu,2021-4Q,20433142,685861440
tamil-nadu,2021-3Q,19127440,459826734
tamil-nadu,2021-2Q,17804542,343968474
tamil-nadu,2021-1Q,16632608,348801714
tamil-nadu,2022-4Q,25136112,1229187623
tamil-nadu,2022-3Q,24019964,866738343
tamil-nadu,2022-2Q,22829720,740265406
tamil-nadu,2022-1Q,21667020,638490275
tamil-nadu,2019-4Q,9620493,155011717
tamil-nadu,2019-3Q,8428835,124690342
tamil-nadu,2019-2Q,7429609,33658961
tamil-nadu,2019-1Q,6296303,0
tamil-nadu,2023-4Q,29452801,1831285792
tamil-nadu,2023-3Q,28405436,1117719858
tamil-nadu,2023-2Q,27317599,991611987
tamil-nadu,2023-1Q,26270663,989061650
tamil-nadu,2018-4Q,5199878,0
tamil-nadu,2018-3Q,3900177,0
tamil-nadu,2018-2Q,2996036,0
tamil-nadu,2018-1Q,2104754,0
tamil-nadu,2020-4Q,15357586,288233552
tamil-nadu,2020-3Q,13643451,194683284
tamil-nadu,2020-2Q,12150786,144907447
tamil-nadu,2020-1Q,10872368,179908753
dadra-&-nagar-haveli-&-daman-&-diu,2024-2Q,640724,7489619
dadra-&-nagar-haveli-&-daman-&-diu,2024-1Q,615863,5967100
dadra-&-nagar-haveli-&-daman-&-diu,2021-4Q,398963,15009455
dadra-&-nagar-haveli-&-daman-&-diu,2021-3Q,371874,7162734
dadra-&-nagar-haveli-&-daman-&-diu,2021-2Q,344994,5062983
dadra-&-nagar-haveli-&-daman-&-diu,2021-1Q,321396,7302462
dadra-&-nagar-haveli-&-daman-&-diu,2022-4Q,500125,24066770
dadra-&-nagar-haveli-&-daman-&-diu,2022-3Q,474807,3837881
dadra-&-nagar-haveli-&-daman-&-diu,2022-2Q,449016,3886292
dadra-&-nagar-haveli-&-daman-&-diu,2022-1Q,424570,3910792
dadra-&-nagar-haveli-&-daman-&-diu,2019-4Q,197598,3770543
dadra-&-nagar-haveli-&-daman-&-diu,2019-3Q,176929,3126189
dadra-&-nagar-haveli-&-daman-&-diu,2019-2Q,158580,860686
dadra-&-nagar-haveli-&-daman-&-diu,2019-1Q,140532,0
dadra-&-nagar-haveli-&-daman-&-diu,2023-4Q,590760,36579378
dadra-&-nagar-haveli-&-daman-&-diu,2023-3Q,569035,4449513
dadra-&-nagar-haveli-&-daman-&-diu,2023-2Q,546364,4086025
dadra-&-nagar-haveli-&-daman-&-diu,2023-1Q,524617,4471284
dadra-&-nagar-haveli-&-daman-&-diu,2018-4Q,116511,0
dadra-&-nagar-haveli-&-daman-&-diu,2018-3Q,92107,0
dadra-&-nagar-haveli-&-daman-&-diu,2018-2Q,71458,0
dadra-&-nagar-haveli-&-daman-&-diu,2018-1Q,53258,0
dadra-&-nagar-haveli-&-daman-&-diu,2020-4Q,296493,6196436
dadra-&-nagar-haveli-&-daman-&-diu,2020-3Q,267946,4421499
dadra-&-nagar-haveli-&-daman-&-diu,2020-2Q,244814,4505127
dadra-&-nagar-haveli-&-daman-&-diu,2020-1Q,218496,4195122
meghalaya,2024-2Q,379342,204649032
meghalaya,2024-1Q,365452,207128767
meghalaya,2021-4Q,240268,6048594
meghalaya,2021-3Q,223065,9952956
meghalaya,2021-2Q,205686,7290804
meghalaya,2021-1Q,190869,2939026
meghalaya,2022-4Q,295322,10105924
meghalaya,2022-3Q,283487,32596135
meghalaya,2022-2Q,269943,27458992
meghalaya,2022-1Q,255839,23634106
meghalaya,2019-4Q,100030,1490542
meghalaya,2019-3Q,87395,1387814
meghalaya,2019-2Q,74746,395764
meghalaya,2019-1Q,61487,0
meghalaya,2023-4Q,349330,30357626
meghalaya,2023-3Q,336282,75055865
meghalaya,2023-2Q,322382,47337234
meghalaya,2023-1Q,308324,44686919
meghalaya,2018-4Q,49634,0
meghalaya,2018-3Q,37281,0
meghalaya,2018-2Q,26618,0
meghalaya,2018-1Q,18513,0
meghalaya,2020-4Q,176447,2745917
meghalaya,2020-3Q,157741,2384534
meghalaya,2020-2Q,136211,2205253
meghalaya,2020-1Q,113814,1716211
rajasthan,2024-2Q,34773619,4962266918
rajasthan,2024-1Q,33505514,4728118557
rajasthan,2021-4Q,21977202,1185124031
rajasthan,2021-3Q,20499465,1429553825
rajasthan,2021-2Q,18980985,1072091232
rajasthan,2021-1Q,17661088,632535059
rajasthan,2022-4Q,27255927,1537424924
rajasthan,2022-3Q,26042948,3299787866
rajasthan,2022-2Q,24716181,2771434947
rajasthan,2022-1Q,23398857,2570606469
rajasthan,2019-4Q,10925031,288904693
rajasthan,2019-3Q,9797304,238338999
rajasthan,2019-2Q,8783935,62787336
rajasthan,2019-1Q,7712204,0
rajasthan,2023-4Q,32157348,1905645600
rajasthan,2023-3Q,30997182,4359306863
rajasthan,2023-2Q,29745609,4033000288
rajasthan,2023-1Q,28523031,3711332541
rajasthan,2018-4Q,6358738,0
rajasthan,2018-3Q,5175453,0
rajasthan,2018-2Q,4212964,0
rajasthan,2018-1Q,3158202,0
rajasthan,2020-4Q,16329494,511015109
rajasthan,2020-3Q,14969412,436682870
rajasthan,2020-2Q,13563201,329941181
rajasthan,2020-1Q,12142053,341815756
andhra-pradesh,2024-2Q,35303719,1061281082
andhra-pradesh,2024-1Q,34008709,1080185103
andhra-pradesh,2021-4Q,22489029,1447717601
andhra-pradesh,2021-3Q,21059898,1258536879
andhra-pradesh,2021-2Q,19620905,1044705436
andhra-pradesh,2021-1Q,18363733,957709447
andhra-pradesh,2022-4Q,27778016,1673374802
andhra-pradesh,2022-3Q,26496330,1357005703
andhra-pradesh,2022-2Q,25157264,1378736856
andhra-pradesh,2022-1Q,23857951,1254785973
andhra-pradesh,2019-4Q,11757883,411201518
andhra-pradesh,2019-3Q,10458693,310953542
andhra-pradesh,2019-2Q,9389003,81375251
andhra-pradesh,2019-1Q,8283019,0
andhra-pradesh,2023-4Q,32658698,1310002959
andhra-pradesh,2023-3Q,31493897,1157440497
andhra-pradesh,2023-2Q,30240061,1427952434
andhra-pradesh,2023-1Q,29065863,1442038420
andhra-pradesh,2018-4Q,6857409,0
andhra-pradesh,2018-3Q,5427617,0
andhra-pradesh,2018-2Q,4402540,0
andhra-pradesh,2018-1Q,3336450,0
andhra-pradesh,2020-4Q,17076565,869078538
andhra-pradesh,2020-3Q,15692405,696300382
andhra-pradesh,2020-2Q,14319675,494341698
andhra-pradesh,2020-1Q,13022060,486513773
himachal-pradesh,2024-2Q,3172766,291406931
himachal-pradesh,2024-1Q,3050141,231634797
himachal-pradesh,2021-4Q,2013747,47670982
himachal-pradesh,2021-3Q,1880626,52970288
himachal-pradesh,2021-2Q,1743151,43269977
himachal-pradesh,2021-1Q,1622951,24228094
himachal-pradesh,2022-4Q,2483076,72355717
himachal-pradesh,2022-3Q,2381576,108832538
himachal-pradesh,2022-2Q,2264407,102488683
himachal-pradesh,2022-1Q,2143483,77278278
himachal-pradesh,2019-4Q,985945,12637904
himachal-pradesh,2019-3Q,876184,10720741
himachal-pradesh,2019-2Q,772603,3321711
himachal-pradesh,2019-1Q,653205,0
himachal-pradesh,2023-4Q,2924952,163694473
himachal-pradesh,2023-3Q,2816046,189307777
himachal-pradesh,2023-2Q,2706470,136774775
himachal-pradesh,2023-1Q,2594668,111702044
himachal-pradesh,2018-4Q,526343,0
himachal-pradesh,2018-3Q,407634,0
himachal-pradesh,2018-2Q,315299,0
himachal-pradesh,2018-1Q,227373,0
himachal-pradesh,2020-4Q,1508766,22001148
himachal-pradesh,2020-3Q,1378634,18411750
himachal-pradesh,2020-2Q,1249867,16125580
himachal-pradesh,2020-1Q,1106025,14640104
kerala,2024-2Q,13008410,164717612
kerala,2024-1Q,12553296,173276966
kerala,2021-4Q,8473810,213542857
kerala,2021-3Q,7949425,116282717
kerala,2021-2Q,7416083,87814415
kerala,2021-1Q,6936943,108918733
kerala,2022-4Q,10382102,346981849
