state, date, name, count, amount
tamil-nadu,2024-2Q,tiruchirappalli district,2063,3041944.0
tamil-nadu,2024-2Q,ramanathapuram district,534,647117.0
tamil-nadu,2024-2Q,krishnagiri district,3015,4726099.0
tamil-nadu,2024-2Q,cuddalore district,1613,2435412.0
tamil-nadu,2024-2Q,kancheepuram district,6638,8882250.0
tamil-nadu,2024-2Q,tiruppur district,4693,6791083.0
tamil-nadu,2024-2Q,dharmapuri district,761,1144398.0
tamil-nadu,2024-2Q,thoothukkudi district,976,1488135.0
tamil-nadu,2024-2Q,thanjavur district,1331,1862713.0
tamil-nadu,2024-2Q,madurai district,3511,4601610.0
tamil-nadu,2024-2Q,tiruvannamalai district,1040,1492166.0
tamil-nadu,2024-2Q,salem district,2967,4272739.0
tamil-nadu,2024-2Q,nagapattinam district,844,1263375.0
tamil-nadu,2024-2Q,tirupathur district,592,1014611.0
tamil-nadu,2024-2Q,ariyalur district,361,428018.0
tamil-nadu,2024-2Q,chennai district,18043,21201607.0
tamil-nadu,2024-2Q,the nilgiris district,604,1072774.0
tamil-nadu,2024-2Q,erode district,2042,3198457.0
tamil-nadu,2024-2Q,karur district,650,1120561.0
tamil-nadu,2024-2Q,kallakkurichi district,565,745982.0
tamil-nadu,2024-2Q,viluppuram district,1279,1842454.0
tamil-nadu,2024-2Q,pudukkottai district,512,743420.0
tamil-nadu,2024-2Q,perambalur district,225,338807.0
tamil-nadu,2024-2Q,coimbatore district,9096,13918959.0
tamil-nadu,2024-2Q,virudhunagar district,789,1100097.0
tamil-nadu,2024-2Q,dindigul district,1364,2455985.0
tamil-nadu,2024-2Q,sivaganga district,670,1132645.0
tamil-nadu,2024-2Q,tenkasi district,562,852869.0
tamil-nadu,2024-2Q,chengalpattu district,10822,15264686.0
tamil-nadu,2024-2Q,kanniyakumari district,1202,2116595.0
tamil-nadu,2024-2Q,tirunelveli district,1411,1975026.0
tamil-nadu,2024-2Q,thiruvallur district,12220,16133783.0
tamil-nadu,2024-2Q,theni district,848,1280074.0
tamil-nadu,2024-2Q,ranipet district,782,1132911.0
tamil-nadu,2024-2Q,namakkal district,1180,1697841.0
tamil-nadu,2024-2Q,vellore district,1032,1817151.0
tamil-nadu,2024-2Q,thiruvarur district,511,738024.0
tamil-nadu,2024-1Q,tiruchirappalli district,2215,3157581.0
tamil-nadu,2024-1Q,ramanathapuram district,546,690761.0
tamil-nadu,2024-1Q,krishnagiri district,3285,4832657.0
tamil-nadu,2024-1Q,cuddalore district,1791,2673146.0
tamil-nadu,2024-1Q,kancheepuram district,7773,9969005.0
tamil-nadu,2024-1Q,tiruppur district,5591,7715676.0
tamil-nadu,2024-1Q,dharmapuri district,970,1265629.0
tamil-nadu,2024-1Q,thoothukkudi district,1037,1548023.0
tamil-nadu,2024-1Q,thanjavur district,1476,2078335.0
tamil-nadu,2024-1Q,madurai district,4067,4939832.0
tamil-nadu,2024-1Q,tiruvannamalai district,1250,1702989.0
tamil-nadu,2024-1Q,salem district,3249,4460786.0
tamil-nadu,2024-1Q,nagapattinam district,898,1177959.0
tamil-nadu,2024-1Q,tirupathur district,748,1022773.0
tamil-nadu,2024-1Q,ariyalur district,394,402075.0
tamil-nadu,2024-1Q,chennai district,20315,23283126.0
tamil-nadu,2024-1Q,the nilgiris district,697,1307140.0
tamil-nadu,2024-1Q,erode district,2399,3459007.0
tamil-nadu,2024-1Q,karur district,739,1165631.0
tamil-nadu,2024-1Q,kallakkurichi district,612,820096.0
tamil-nadu,2024-1Q,viluppuram district,1370,1950223.0
tamil-nadu,2024-1Q,pudukkottai district,616,751518.0
tamil-nadu,2024-1Q,perambalur district,236,281135.0
tamil-nadu,2024-1Q,coimbatore district,10809,16192243.0
tamil-nadu,2024-1Q,virudhunagar district,969,1251311.0
tamil-nadu,2024-1Q,dindigul district,1611,2680920.0
tamil-nadu,2024-1Q,sivaganga district,770,1100331.0
tamil-nadu,2024-1Q,tenkasi district,671,891060.0
tamil-nadu,2024-1Q,chengalpattu district,12435,17039816.0
tamil-nadu,2024-1Q,kanniyakumari district,1264,2105662.0
tamil-nadu,2024-1Q,tirunelveli district,1586,2100827.0
tamil-nadu,2024-1Q,thiruvallur district,13891,17283816.0
tamil-nadu,2024-1Q,theni district,939,1453415.0
tamil-nadu,2024-1Q,ranipet district,994,1351537.0
tamil-nadu,2024-1Q,namakkal district,1431,1961139.0
tamil-nadu,2024-1Q,vellore district,1277,2027235.0
tamil-nadu,2024-1Q,thiruvarur district,600,881760.0
tamil-nadu,2021-4Q,tiruchirappalli district,792,1056977.0
tamil-nadu,2021-4Q,ramanathapuram district,210,271287.0
tamil-nadu,2021-4Q,krishnagiri district,1323,1653893.0
tamil-nadu,2021-4Q,cuddalore district,540,756151.0
tamil-nadu,2021-4Q,kancheepuram district,2055,2467606.0
tamil-nadu,2021-4Q,tiruppur district,2096,2467072.0
tamil-nadu,2021-4Q,dharmapuri district,289,479613.0
tamil-nadu,2021-4Q,thoothukkudi district,326,512260.0
tamil-nadu,2021-4Q,thanjavur district,402,746619.0
tamil-nadu,2021-4Q,madurai district,1507,1719722.0
tamil-nadu,2021-4Q,tiruvannamalai district,339,452061.0
tamil-nadu,2021-4Q,salem district,959,1307980.0
tamil-nadu,2021-4Q,nagapattinam district,232,325491.0
tamil-nadu,2021-4Q,tirupathur district,286,401281.0
tamil-nadu,2021-4Q,ariyalur district,129,166205.0
tamil-nadu,2021-4Q,chennai district,5769,6143037.0
tamil-nadu,2021-4Q,the nilgiris district,285,475488.0
tamil-nadu,2021-4Q,erode district,677,1113805.0
tamil-nadu,2021-4Q,karur district,247,344098.0
tamil-nadu,2021-4Q,kallakkurichi district,199,297923.0
tamil-nadu,2021-4Q,viluppuram district,406,584387.0
tamil-nadu,2021-4Q,pudukkottai district,207,259149.0
tamil-nadu,2021-4Q,perambalur district,73,89288.0
tamil-nadu,2021-4Q,coimbatore district,2943,4272322.0
tamil-nadu,2021-4Q,virudhunagar district,405,514159.0
tamil-nadu,2021-4Q,dindigul district,552,706258.0
tamil-nadu,2021-4Q,sivaganga district,201,314440.0
tamil-nadu,2021-4Q,tenkasi district,189,251325.0
tamil-nadu,2021-4Q,chengalpattu district,2877,3652362.0
tamil-nadu,2021-4Q,kanniyakumari district,412,656152.0
tamil-nadu,2021-4Q,tirunelveli district,499,652318.0
tamil-nadu,2021-4Q,thiruvallur district,3895,4604901.0
tamil-nadu,2021-4Q,theni district,286,427075.0
tamil-nadu,2021-4Q,ranipet district,326,452834.0
tamil-nadu,2021-4Q,namakkal district,396,579361.0
tamil-nadu,2021-4Q,vellore district,544,777861.0
tamil-nadu,2021-4Q,thiruvarur district,164,231529.0
tamil-nadu,2021-3Q,tiruchirappalli district,521,481815.0
tamil-nadu,2021-3Q,ramanathapuram district,163,244272.0
tamil-nadu,2021-3Q,krishnagiri district,840,869170.0
tamil-nadu,2021-3Q,cuddalore district,401,508465.0
tamil-nadu,2021-3Q,kancheepuram district,1442,1367259.0
tamil-nadu,2021-3Q,tiruppur district,1193,1061146.0
tamil-nadu,2021-3Q,dharmapuri district,205,223645.0
tamil-nadu,2021-3Q,thoothukkudi district,234,266628.0
tamil-nadu,2021-3Q,thanjavur district,271,310261.0
tamil-nadu,2021-3Q,madurai district,881,881288.0
tamil-nadu,2021-3Q,tiruvannamalai district,300,330451.0
tamil-nadu,2021-3Q,salem district,805,1004135.0
tamil-nadu,2021-3Q,nagapattinam district,181,220779.0
tamil-nadu,2021-3Q,tirupathur district,175,185284.0
tamil-nadu,2021-3Q,ariyalur district,86,75506.0
tamil-nadu,2021-3Q,chennai district,4367,3861435.0
tamil-nadu,2021-3Q,the nilgiris district,134,183427.0
tamil-nadu,2021-3Q,erode district,625,682937.0
tamil-nadu,2021-3Q,karur district,156,146882.0
tamil-nadu,2021-3Q,kallakkurichi district,112,149462.0
tamil-nadu,2021-3Q,viluppuram district,257,274851.0
tamil-nadu,2021-3Q,pudukkottai district,100,117707.0
tamil-nadu,2021-3Q,perambalur district,52,57076.0
tamil-nadu,2021-3Q,coimbatore district,2007,1991798.0
tamil-nadu,2021-3Q,virudhunagar district,239,222700.0
tamil-nadu,2021-3Q,dindigul district,325,337226.0
