date, category, entityName, count, amount
2024-2Q,states,maharashtra,3063494802,3573189333587.0
2024-2Q,states,karnataka,3042012848,3785034703438.0
2024-2Q,states,telangana,2417264357,3461542433312.0
2024-2Q,states,uttar pradesh,2135538658,2704223360067.0
2024-2Q,states,andhra pradesh,1930122300,3181922420088.0
2024-2Q,states,rajasthan,1818855106,2497094537924.0
2024-2Q,states,madhya pradesh,1435472057,1779679946627.0
2024-2Q,states,bihar,1313888385,1886846564676.0
2024-2Q,states,west bengal,980480707,1547343815564.0
2024-2Q,states,odisha,944027735,1164839284001.0
2024-2Q,districts,bengaluru urban,1497173080,1626460643067.0
2024-2Q,districts,pune,774940848,703288284286.0
2024-2Q,districts,rangareddy,539561247,707566316827.0
2024-2Q,districts,jaipur,473991132,581415499446.0
2024-2Q,districts,hyderabad,435136278,550918208821.0
2024-2Q,districts,medchal malkajgiri,416369023,532889975847.0
2024-2Q,districts,gurugram,267480541,231403496054.0
2024-2Q,districts,gautam buddha nagar,265595986,216594147530.0
2024-2Q,districts,visakhapatnam,260339876,378402015204.0
2024-2Q,districts,indore,224896033,239315772788.0
2024-2Q,pincodes,500072,76230583,93277825439.0
2024-2Q,pincodes,560068,69364986,66289367831.0
2024-2Q,pincodes,201301,62464983,44004838882.0
2024-2Q,pincodes,500081,47745271,52611737092.0
2024-2Q,pincodes,410501,46907334,34713255109.0
2024-2Q,pincodes,560037,46776034,48880395601.0
2024-2Q,pincodes,500032,43718050,47723230498.0
2024-2Q,pincodes,560076,42881778,42679317598.0
2024-2Q,pincodes,560078,42529166,45410228491.0
2024-2Q,pincodes,411057,42406480,32822122569.0
2024-1Q,states,maharashtra,2835770481,3372898894856.0
2024-1Q,states,karnataka,2796439155,3485248654506.0
2024-1Q,states,telangana,2179385307,3203769301073.0
2024-1Q,states,uttar pradesh,1785296948,2477543106639.0
2024-1Q,states,andhra pradesh,1755428485,3012725669749.0
2024-1Q,states,rajasthan,1599474007,2350500173790.0
2024-1Q,states,madhya pradesh,1286156614,1625420229864.0
2024-1Q,states,bihar,1078734783,1637736864896.0
2024-1Q,states,odisha,864178452,1156388722536.0
2024-1Q,states,west bengal,836408587,1422025506833.0
2024-1Q,districts,bengaluru urban,1410557938,1530943099565.0
2024-1Q,districts,pune,733071386,673821354148.0
2024-1Q,districts,rangareddy,488047529,658571093582.0
2024-1Q,districts,jaipur,417960026,559737992837.0
2024-1Q,districts,hyderabad,402314318,527685058004.0
2024-1Q,districts,medchal malkajgiri,380041109,499878493547.0
2024-1Q,districts,visakhapatnam,238418938,363341573689.0
2024-1Q,districts,gurugram,220314122,209018505349.0
2024-1Q,districts,gautam buddha nagar,214720949,194154342486.0
2024-1Q,districts,indore,204031251,225074399956.0
2024-1Q,pincodes,500072,69094126,88039295927.0
2024-1Q,pincodes,560068,65916906,63058218288.0
2024-1Q,pincodes,201301,52120222,40796556514.0
2024-1Q,pincodes,560037,44437042,46789563898.0
2024-1Q,pincodes,410501,43473832,33452714100.0
2024-1Q,pincodes,500081,43128414,49113797461.0
2024-1Q,pincodes,560076,40863256,40420178638.0
2024-1Q,pincodes,560078,40535894,42657750513.0
2024-1Q,pincodes,411057,40434976,31533887646.0
2024-1Q,pincodes,500032,40014033,45087861514.0
2021-4Q,states,maharashtra,1010731502,1475358473128.29
2021-4Q,states,karnataka,931725438,1375471324349.8774
2021-4Q,states,telangana,775989773,1463758189500.9146
2021-4Q,states,andhra pradesh,522254003,1156264447083.9229
2021-4Q,states,rajasthan,487621597,903934418544.2667
2021-4Q,states,uttar pradesh,406157932,773890970072.1895
2021-4Q,states,madhya pradesh,404308084,656887492404.4789
2021-4Q,states,delhi,292683359,488695314062.3906
2021-4Q,states,tamil nadu,259155976,443723952594.79407
2021-4Q,states,bihar,245126945,519371614068.7477
2021-4Q,districts,bengaluru urban,584958847,755926042210.8081
2021-4Q,districts,pune,371337618,454584743765.05554
2021-4Q,districts,hyderabad,325636475,582079170534.0186
2021-4Q,districts,jaipur,231804892,394435778364.0141
2021-4Q,districts,bhopal,134176541,190196223229.17587
2021-4Q,districts,rangareddy,111354739,188838966046.13513
2021-4Q,districts,central delhi,111134916,177625511230.04297
2021-4Q,districts,medchal malkajgiri,98780634,164568262330.06238
2021-4Q,districts,khordha,94505879,135122128258.68542
2021-4Q,districts,mumbai suburban,92733033,134616103622.6073
2021-4Q,pincodes,500001,213053128,398798138080.5086
2021-4Q,pincodes,560001,206723470,283864051273.69073
2021-4Q,pincodes,411004,185423020,259406175394.85846
2021-4Q,pincodes,302016,130544931,225546213678.03116
2021-4Q,pincodes,462008,97987017,145639258182.99155
2021-4Q,pincodes,110006,96850347,152021116180.99402
2021-4Q,pincodes,800001,61784983,113485175570.40105
2021-4Q,pincodes,444510,55162139,103212697006.96257
2021-4Q,pincodes,600003,54054310,83084090738.55415
2021-4Q,pincodes,751001,52532360,79093274940.53792
2021-3Q,states,maharashtra,792874060,1159257305167.4514
2021-3Q,states,karnataka,753296539,1133234739157.5984
2021-3Q,states,telangana,622886768,1178289126292.2617
2021-3Q,states,andhra pradesh,432032550,984218035564.1218
2021-3Q,states,rajasthan,400284753,710511328542.4897
2021-3Q,states,madhya pradesh,311443334,504412603851.49896
2021-3Q,states,uttar pradesh,306543384,557080841279.8989
2021-3Q,states,delhi,238760608,383858316548.281
2021-3Q,states,tamil nadu,204357404,365207323053.92737
2021-3Q,states,bihar,187671113,397062760956.3983
2021-3Q,districts,bengaluru urban,476485560,626123198813.8513
2021-3Q,districts,pune,303322956,372243656247.4718
2021-3Q,districts,hyderabad,262028284,479343321365.3726
2021-3Q,districts,jaipur,193839196,313664435689.29987
2021-3Q,districts,bhopal,103403998,146735124186.2163
2021-3Q,districts,central delhi,88849847,137311394953.58371
2021-3Q,districts,rangareddy,87884143,147772047919.14047
2021-3Q,districts,medchal malkajgiri,79514766,130838255095.6952
2021-3Q,districts,khordha,71647985,108452202806.23244
2021-3Q,districts,visakhapatnam,69220981,136945652159.26515
2021-3Q,pincodes,500001,173430239,335290201877.6652
2021-3Q,pincodes,560001,171396431,241306340924.00638
2021-3Q,pincodes,411004,155523883,217400690972.0777
2021-3Q,pincodes,302016,108659324,179936124302.00922
2021-3Q,pincodes,110006,77515502,117511789786.64261
2021-3Q,pincodes,462008,74987334,111259178579.96481
2021-3Q,pincodes,800001,49086869,90644799090.27641
2021-3Q,pincodes,444510,45378525,84950919432.04364
2021-3Q,pincodes,600003,42982007,71274098295.90457
2021-3Q,pincodes,751001,41875475,65849220632.325775
